Neighborhood,Longitude,Latitude,Weapon,1,2,3,4,5,6,7,8,9,10,11
"1000 Chapel Hill Rd, Madison, WI, 53711",-89.494006,43.043747,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"1 W Johnson St, Madison, WI, 53703",-89.387012,43.076779,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"300 North St, Madison, WI, 53704",-89.350445,43.103233,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"1 Farwell St, Madison, WI, 53704",-89.346535,43.100023,Handgun,0,0,0,0,0,0,1,1,1,1,
"1800 Fordem Ave, Madison, WI, 53704",-89.363555,43.095071,Handgun,0,0,0,0,0,0,1,1,1,1,
"1100 Ann St, Madison, WI, 53713",-89.401528,43.03505,Handgun,0,0,0,0,0,0,1,1,1,1,
"2200 Allied Dr, Madison, WI, 53711",-89.459335,43.030117,Handgun,0,0,0,0,0,0,1,1,1,1,
"Troy Dr, Madison, WI, 53704",-89.369201,43.133151,Handgun,0,0,0,0,0,0,1,1,1,1,
"1400 Pflaum Rd, Madison, WI, 53716",-89.310921,43.062301,Handgun,0,0,0,0,0,0,1,1,1,1,
"900 Vilas Ave, Madison, WI, 53715",-89.40092,43.063256,Handgun,0,0,0,0,0,0,1,1,1,1,
"100 Koster St, Madison, WI, 53713",-89.384237,43.043501,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,1,1,1,1,
"1400 Regent St, Madison, WI, 53711",-89.40918,43.067838,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"800 W Badger Rd, Madison, WI, 53713",-89.394458,43.038562,Handgun,0,0,0,0,0,0,0,1,1,1,
"3500 Lexington Ave, Madison, WI, 53714",-89.327991,43.110676,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"6700 Jacobs Way, Madison, WI, 53711",-89.496825,43.038105,Handgun,0,0,0,0,0,0,0,1,1,1,
"Hollister Ave, Madison, WI, 53726",-89.421651,43.066164,Handgun,0,0,0,0,0,0,0,1,1,1,
"1 Adeline Cir, Madison, WI, 53713",-89.403881,43.036924,Handgun,0,0,0,0,0,0,0,1,1,1,
"3800 E Washington Ave, Madison, WI, 53704",-89.321511,43.119053,Handgun,0,0,0,0,0,0,0,1,1,1,
"5800 Raymond Rd, Madison, WI, 53711",-89.479879,43.032017,Handgun,0,0,0,0,0,0,0,1,1,1,
"Chester Dr, Madison, WI, 53719",-89.504111,43.016801,Handgun,0,0,0,0,0,0,0,1,1,1,
"1400 Trailsway, Madison, WI, 53704",-89.367768,43.126176,Handgun,0,0,0,0,0,0,0,1,1,1,
"400 N Lake St, Madison, WI, 53706",-89.397492,43.073169,Handgun,0,0,0,0,0,0,0,1,1,1,
"800 N Thompson Dr, Madison, WI, 53704",-89.299155,43.108681,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"1 N Bassett St, Madison, WI, 53703",-89.390625,43.070166,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"1 E Johnson St, Madison, WI, 53703",-89.386942,43.076829,Handgun,0,0,0,0,0,0,0,1,1,1,
"600 W Washington Ave, Madison, WI, 53703",-89.392564,43.068855,Handgun,0,0,0,0,0,0,0,1,1,1,
"1200 Carpenter St, Madison, WI, 53704",-89.335951,43.11174,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"Theresa Ter, Madison, WI, 53711",-89.489869,43.036743,Handgun,0,0,0,0,0,0,0,1,1,1,
"Theresa Ter, Madison, WI, 53711",-89.489869,43.036743,Handgun,0,0,0,0,0,0,0,1,1,1,
"6300 Bettys Ln, Madison, WI, 53711",-89.489861,43.038167,Handgun,0,0,0,0,0,0,0,1,1,1,
"6300 Bettys Ln, Madison, WI, 53711",-89.489861,43.038167,Handgun,0,0,0,0,0,0,0,1,1,1,
"6300 Bettys Ln, Madison, WI, 53711",-89.489861,43.038167,Handgun,0,0,0,0,0,0,0,1,1,1,
"6300 Bettys Ln, Madison, WI, 53711",-89.489861,43.038167,Handgun,0,0,0,0,0,0,0,1,1,1,
"400 Algoma St, Madison, WI, 53704",-89.344315,43.104621,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"7100 Tempe Dr, Madison, WI, 53719",-89.505879,43.016868,Handgun,0,0,0,0,0,0,0,1,1,1,
"7100 Tempe Dr, Madison, WI, 53719",-89.505879,43.016868,Handgun,0,0,0,0,0,0,0,1,1,1,
"2400 Fish Hatchery Rd, Madison, WI, 53713",-89.404067,43.03919,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"2400 Fish Hatchery Rd, Madison, WI, 53713",-89.404067,43.03919,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,1,1,1,
"7500 Mineral Point Rd, Madison, WI, 53717",-89.512778,43.060713,Handgun,0,0,0,0,0,0,0,0,1,1,
"2200 Cypress Way, Madison, WI, 53713",-89.397316,43.041658,Handgun,0,0,0,0,0,0,0,0,1,1,
"1400 Northport Dr, Madison, WI, 53704",-89.372838,43.134817,Handgun,0,0,0,0,0,0,0,0,1,1,
"2100 N Stoughton Rd, Madison, WI, 53704",-89.3254,43.127247,Handgun,0,0,0,0,0,0,0,0,1,1,
"4500 Jay Dr, Madison, WI, 53704",-89.379283,43.143326,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,1,1,
"4400 Jay Dr, Madison, WI, 53704",-89.380554,43.14197,Handgun,0,0,0,0,0,0,0,0,1,1,
"4300 Prairieview Dr, Madison, WI, 53704",-89.360904,43.140152,Handgun,0,0,0,0,0,0,0,0,1,1,
"2200 E Washington Ave, Madison, WI, 53704",-89.354247,43.096208,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,1,1,
"400 N Pinckney St, Madison, WI, 53703",-89.386797,43.078284,Shotgun,0,0,0,0,0,0,0,0,1,1,
"400 W Shore Dr, Madison, WI, 53715",-89.399802,43.063097,Handgun,0,0,0,0,0,0,0,0,1,1,
"400 W Shore Dr, Madison, WI, 53715",-89.399802,43.063097,Handgun,0,0,0,0,0,0,0,0,1,1,
"400 W Shore Dr, Madison, WI, 53715",-89.399802,43.063097,Handgun,0,0,0,0,0,0,0,0,1,1,
"2300 Allied Dr, Madison, WI, 53711",-89.459524,43.028884,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,1,1,
"5100 Hazelcrest Dr, Madison, WI, 53704",-89.296124,43.110522,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,1,1,
"2300 Allied Dr, Madison, WI, 53711",-89.459524,43.028884,Firearm(Type not stated),0,0,0,0,0,0,0,0,1,1,
"5600 Schroeder Rd, Madison, WI, 53711",-89.477442,43.046439,Handgun,0,0,0,0,0,0,0,0,1,1,
"1100 Morraine View Dr, Madison, WI, 53719",-89.506365,43.042582,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,1,1,
"1300 Mendota St, Madison, WI, 53714",-89.317838,43.116127,Handgun,0,0,0,0,0,0,0,0,1,1,
"Madison, WI",-89.386691,43.072951,Handgun,0,0,0,0,0,0,0,0,1,1,
"6500 Tottenham Rd, Madison, WI, 53711",-89.493,43.029098,Handgun,0,0,0,0,0,0,0,0,1,1,
"6500 Tottenham Rd, Madison, WI, 53711",-89.493,43.029098,Handgun,0,0,0,0,0,0,0,0,1,1,
"100 E Gilman St, Madison, WI, 53703",-89.387537,43.079029,Handgun,0,0,0,0,0,0,0,0,1,1,
"1300 Theresa Ter, Madison, WI, 53711",-89.489873,43.039075,Handgun,0,0,0,0,0,0,0,0,1,1,
"1300 Mendota St, Madison, WI, 53714",-89.317838,43.116127,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,1,1,
"Madison, WI",-89.386691,43.072951,Handgun,0,0,0,0,0,0,0,0,0,1,
"4700 Flint Ln, Madison, WI, 53714",-89.300963,43.0956,Firearm(Type not stated),0,0,0,0,0,0,0,0,0,1,
"2500 Mckenna Blvd, Madison, WI, 53711",-89.497019,43.027136,Firearm(Type not stated),0,0,0,0,0,0,0,0,0,1,
"6200 University Ave, Madison, WI, 53562",-89.486426,43.090167,Handgun,0,0,0,0,0,0,0,0,0,1,
"6700 Jacobs Way, Madison, WI, 53711",-89.496825,43.038105,Handgun,0,0,0,0,0,0,0,0,0,1,
"Madison, WI",-89.386691,43.072951,Handgun,0,0,0,0,0,0,0,0,0,1,
"1800 Monroe St, Madison, WI, 53711",-89.416459,43.065426,Handgun,0,0,0,0,0,0,0,0,0,1,
"1700 Thierer Rd, Madison, WI, 53704",-89.311243,43.121314,Handgun,0,0,0,0,0,0,0,0,0,1,
"3713 Kipling Dr, Madison, WI, 53704",-89.356608,43.133906,Handgun,0,0,0,0,0,0,0,0,0,1,
"700 Northport Dr, Madison, WI, 53704",-89.385974,43.139232,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,0,1,
"5900 Mckee Rd, Madison, WI, 53711",-89.451908,43.015606,Handgun,0,0,0,0,0,0,0,0,0,1,
"200 E Mifflin St, Madison, WI, 53703",-89.383255,43.07699,Handgun,0,0,0,0,0,0,0,0,0,1,
"2200 Talc Trl, Madison, WI, 53719",-89.532427,43.028622,Pellet/BB Gun (Pistols & Rifles),0,0,0,0,0,0,0,0,0,1,
"100 N Brooks St, Madison, WI, 53715",-89.402555,43.069384,Handgun,0,0,0,0,0,0,0,0,0,1,
